"Main";"Middle";"Sub";"Address";"Central";"Unfiltered";"Description";"DatapointType";"Security"
"A";"";"";"1/-/-";"";"";"";"";"Auto"
"";"A1";"";"1/1/-";"";"";"";"";"Auto"
"";"";"A1 G1 on/off";"1/1/0";"";"";"Dali 1 on/off";"DPST-1-1";"Auto"
"";"";"A1 G1 Switch status";"1/1/1";"";"";"Dali G1 on/off status";"DPST-1-1";"Auto"
"";"";"A1 G1 Brightness Absolut";"1/1/2";"";"";"Dali G1 Dimming";"DPST-5-1";"Auto"
"";"";"A1 G1 Brightness Status";"1/1/3";"";"";"Dali G1 Brightness status";"DPST-5-1";"Auto"
"";"";"A1 G1 Colour Temperature";"1/1/4";"";"";"Dali G1 Color Temperature";"DPST-7-600";"Auto"
"";"";"A1 G1 Colour Temperature Status";"1/1/5";"";"";"Dali G1 CT status";"DPST-7-600";"Auto"
"";"";"A1 G2 on/off";"1/1/10";"";"";"DALI 2";"DPST-1-1";"Auto"
"";"";"A1 G2 on/off status";"1/1/11";"";"";"DALI 2";"DPST-1-1";"Auto"
"";"";"A1 G2 Brightness Absolute";"1/1/12";"";"";"DALI 2";"DPST-5-1";"Auto"
"";"";"A1 G2 Brightness Absolute status";"1/1/13";"";"";"DALI 2";"DPST-5-1";"Auto"
"";"";"A1 Stone Power";"1/1/20";"";"";"DALI 2";"DPST-1-1";"Auto"
"";"";"A1 Stone Power Status";"1/1/21";"";"";"DALI 2";"DPST-1-1";"Auto"
"";"";"A1 Terrace Door";"1/1/24";"";"";"A1 Terrace Door";"DPST-1-1";"Auto"
"";"";"A1 Living room Button";"1/1/26";"";"";"Button";"DPST-1-1";"Auto"
"";"";"A1 Living room Button status";"1/1/27";"";"";"Button status";"DPST-1-1";"Auto"
"";"";"A1 Bathroom Button";"1/1/28";"";"";"Button";"DPST-1-1";"Auto"
"";"";"A1 Terrace Door Contact";"1/1/29";"";"";"Button";"DPST-1-1";"Auto"
"";"";"A1 Curtain Open/Closed";"1/1/30";"";"";"Curtain";"DPST-1-9";"Auto"
"";"";"A1 Curtain Stop";"1/1/31";"";"";"Curtain";"DPST-1-7";"Auto"
"";"";"A1 Curtain position";"1/1/32";"";"";"";"DPST-5-1";"Auto"
"";"";"A1 Curtain position status";"1/1/33";"";"";"";"DPST-5-1";"Auto"
"";"";"A1 Temperature value";"1/1/40";"";"";"";"DPST-9-1";"Auto"
"";"";"A1 Humidity value";"1/1/41";"";"";"";"DPST-9-7";"Auto"
"";"";"A1 Date";"1/1/42";"";"";"";"DPST-11-1";"Auto"
"";"";"A1 Guest";"1/1/50";"";"";"Guest";"DPST-1-3";"Auto"
"";"";"A1 All Off";"1/1/99";"";"";"All Off";"DPST-1-1";"Auto"
"";"";"A1 DMX Stone Red value";"1/1/100";"";"";"Stone Red";"DPST-5-1";"Auto"
"";"";"A1 DMX Stone Green value";"1/1/102";"";"";"Stone Green";"DPST-5-1";"Auto"
"";"";"A1 DMX Stone Blue value";"1/1/104";"";"";"Stone Blue";"DPST-5-1";"Auto"
"";"";"A1 DMX Stone White value";"1/1/106";"";"";"Stone White";"DPST-5-1";"Auto"
"";"";"A1 Scene Control";"1/1/150";"";"";"A1 Scene Control";"DPST-18-1";"Auto"
"";"";"A1 Scene 1 1bit value";"1/1/151";"";"";"";"DPST-1-1";"Auto"
"";"";"A1 Scene 2 1bit value";"1/1/152";"";"";"";"DPST-1-1";"Auto"
"";"";"A1 Scene 3 1bit value";"1/1/153";"";"";"";"DPST-1-1";"Auto"
"";"";"A1 Scene 4 1bit value";"1/1/154";"";"";"";"DPST-1-1";"Auto"
"";"";"A1 Scene 5 1bit value";"1/1/155";"";"";"";"DPST-1-1";"Auto"
"";"";"A1 Scene 6 1bit value";"1/1/156";"";"";"";"DPST-1-1";"Auto"
"";"";"A1 DMX Terrace Red value";"1/1/160";"";"";"A1 DMX";"DPST-5-1";"Auto"
"";"";"A1 DMX Terrace Red status";"1/1/161";"";"";"A1 DMX";"DPST-5-1";"Auto"
"";"";"A1 DMX Terrace Green value";"1/1/162";"";"";"A1 DMX";"DPST-5-1";"Auto"
"";"";"A1 DMX Terrace Green status";"1/1/163";"";"";"A1 DMX";"DPST-5-1";"Auto"
"";"";"A1 DMX Terrace Blue value";"1/1/164";"";"";"A1 DMX";"DPST-5-1";"Auto"
"";"";"A1 DMX Terrace Blue status";"1/1/165";"";"";"A1 DMX";"DPST-5-1";"Auto"
"";"";"A1 DMX Terrace White value";"1/1/166";"";"";"A1 DMX";"DPST-5-1";"Auto"
"";"";"A1 DMX Terrace White status";"1/1/167";"";"";"A1 DMX";"DPST-5-1";"Auto"
"";"";"A1 DMX Terrace On/Off";"1/1/168";"";"";"A1 DMX";"DPST-1-1";"Auto"
"";"";"A1 DMX Terrace Dimming";"1/1/170";"";"";"A1 DMX";"DPST-5-1";"Auto"
"";"";"A1 Audio Equalizer";"1/1/200";"";"";"Audio - Equalizer EIS14";"DPT-5";"Auto"
"";"";"A1 Audio Equalizer status";"1/1/201";"";"";"Audio - Equalizer Callback EIS14";"DPT-5";"Auto"
"";"";"A1 Audio Power";"1/1/202";"";"";"Audio";"DPST-1-1";"Auto"
"";"";"A1 Audio Power Status";"1/1/203";"";"";"Audio";"DPST-1-1";"Auto"
"";"";"A1 Audio Source Select";"1/1/204";"";"";"Audio - Source Select EIS1";"DPST-1-1";"Auto"
"";"";"A1 Audio Source Select status";"1/1/205";"";"";"Audio - Source Select Callback EIS1";"DPST-1-1";"Auto"
"";"";"A1 Audio Source Information";"1/1/206";"";"";"Audio - Source Information EIS15";"DPST-16-1";"Auto"
"";"";"A1 Audio Auto Source Selection";"1/1/207";"";"";"Audio - Enable Auto Source Selection EIS1";"DPST-1-1";"Auto"
"";"";"A1 Audio Absolut volume";"1/1/211";"";"";"Audio";"DPST-5-1";"Auto"
"";"";"A1 Audio Volume status";"1/1/212";"";"";"Audio";"DPST-5-1";"Auto"
"";"";"A1 Audio Volume Minimum status";"1/1/217";"";"";"Audio - Volume Minimum Callback EIS6";"DPST-5-1";"Auto"
"";"";"A1 Audio Volume Maximum status";"1/1/219";"";"";"Audio - Volume Maximum Callback EIS6";"DPST-5-1";"Auto"
"";"";"A1 Audio Mute";"1/1/220";"";"";"Audio";"DPST-1-3";"Auto"
"";"";"A1 Audio Mute status";"1/1/221";"";"";"Audio";"DPST-1-3";"Auto"
"";"";"A1 Audio Play/Pause";"1/1/222";"";"";"Audio";"DPST-1-10";"Auto"
"";"";"A1 Audio Play/Pause status";"1/1/223";"";"";"Audio";"DPST-1-1";"Auto"
"";"";"A1 Audio Next/Prev";"1/1/226";"";"";"Audio";"DPST-1-7";"Auto"
"";"";"A1 Audio Text View";"1/1/228";"";"";"Audio - Text View EIS15";"DPST-16-1";"Auto"
"";"";"A1 Audio Album";"1/1/229";"";"";"Audio - Album EIS15";"DPST-16-1";"Auto"
"";"";"A1 Audio Artist";"1/1/230";"";"";"Audio - Artist EIS15";"DPST-16-1";"Auto"
"";"";"A1 Audio Track name";"1/1/231";"";"";"Audio";"DPST-16-1";"Auto"
"";"";"A1 Audio Playlist name";"1/1/233";"";"";"Audio - Playlist EIS15";"DPST-16-1";"Auto"
"";"";"A1 Audio Playlist Select";"1/1/239";"";"";"Audio";"DPT-5";"Auto"
"";"";"A1 Audio Power Convert";"1/1/240";"";"";"Audio";"DPST-1-1";"Auto"
